WARNING ,Connection established: True
WARNING ,GPSNavInit
WARNING ,goodFix and end GPSNavInit
WARNING ,End initialize IMU & GPS
WARNING ,begin calibrateMag
DEBUG   ,-3.931641,-0.358594
DEBUG   ,-5.182617,-0.537891
DEBUG   ,-5.182617,-0.537891
DEBUG   ,-8.578125,0.000000
DEBUG   ,-8.578125,0.000000
DEBUG   ,-8.935547,0.358594
DEBUG   ,-8.935547,0.358594
DEBUG   ,-9.650391,0.000000
DEBUG   ,-9.650391,0.000000
DEBUG   ,-10.365234,-1.434375
DEBUG   ,-10.365234,-1.434375
DEBUG   ,-9.292969,-3.227344
DEBUG   ,-9.292969,-3.227344
DEBUG   ,-9.292969,-3.227344
DEBUG   ,-9.292969,-3.227344
DEBUG   ,-4.289062,-1.792969
DEBUG   ,-4.289062,-1.792969
DEBUG   ,-2.501953,-2.510156
DEBUG   ,-2.501953,-2.510156
DEBUG   ,1.250977,-1.255078
DEBUG   ,1.250977,-1.255078
DEBUG   ,3.038086,-1.255078
DEBUG   ,3.038086,-1.255078
DEBUG   ,3.931641,-0.358594
DEBUG   ,3.931641,-0.358594
DEBUG   ,3.931641,-0.358594
DEBUG   ,6.076172,-0.358594
DEBUG   ,6.076172,-0.358594
DEBUG   ,6.076172,-0.358594
DEBUG   ,6.076172,-0.358594
WARNING ,end calibrateMag
WARNING ,End calibrate IMU & Re-enable GPS messages
WARNING ,Begin try:while(True):
INFO    ,bearRel: 114.391473
INFO    ,bearRel: 145.481205
INFO    ,bearRel: 145.481205
INFO    ,bearRel: 145.481205
INFO    ,bearRel: 145.481205
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
